lei,respondent_name,respondent_city,respondent_state,type_name,respondent_rssd
549300U2ACJ0QKSFKY48,CAROLINA BANK & TRUST CO,Lamar,SC,Bank or Affiliate,355120
549300O533WDHBZ8JV02,CLOVER COMMUNITY BANK,Clover,SC,Bank or Affiliate,81429
549300LYOOWYZPR8M567,SANDHILLS BANK,North Myrtle Beach,SC,Bank or Affiliate,806220
549300L6DJ4OOC5S2K66,CAROLINA ALLIANCE BANK,Spartanburg,SC,Bank or Affiliate,3486623
254900YY34KGK5BI2L42,1ST SOUTH BANCORP,Spartanburg,SC,Bank or Affiliate,2491291
25490034470BYC1MSE16,RIVERS EDGE BANK,Marion,SD,Bank or Affiliate,474450
549300R92KASZD16MT49,SECURITY SVGS BANK,Canton,SD,Bank or Affiliate,811747
549300YNGRFB37XGID84,CIVIS BANK,Rogersville,TN,Bank or Affiliate,841838
549300HUJ6V0QTROHW53,1ST FREEDOM BANK,Lebanon,TN,Bank or Affiliate,3437148
5493004IEEY3EWUVQH38,CEDARSTONE BANK,Lebanon,TN,Bank or Affiliate,3262788
549300ALCB61YE35DM42,CHESTER COUNTY BANK,Henderson,TN,Bank or Affiliate,86554
549300YVF0872060HC60,CITIZENS B&T OF GRAINGER COUNTY,Rutledge,TN,Bank or Affiliate,715630
549300IBHFWCA2THLC52,TOWER COMMUNITY BANK,Jasper,TN,Bank or Affiliate,989730
5493000ZD2ZTRJW93F74,FOOTHILLS BANK & TRUST,Maryville,TN,Bank or Affiliate,3597592
549300PONSHZ2J8TRD25,THE PEOPLES BANK,Sardis,TN,Bank or Affiliate,591357
549300Y5CMBB4R90KT81,CBBC BANK,Maryville,TN,Bank or Affiliate,218131
549300PU05Y8ZO8NLB88,COMMUNITY BANK & TRUST,Ashland City,TN,Bank or Affiliate,2851185
5493004G1R53XUWFLF32,CITIZENS 1ST BANK,Wartburg,TN,Bank or Affiliate,2532082
549300TKNCUTNJMQVB32,PROGRESSIVE SVGS BANK,Jamestown,TN,Bank or Affiliate,535874
549300VHSNSONCKU5207,1ST CAPITAL BANK,Germantown,TN,Bank or Affiliate,3177426
549300JRILZK0V54TR93,1ST COMMUNITY BANK OF TENNESSEE,Shelbyville,TN,Bank or Affiliate,1188772
5493001TKHVR1XBO7H51,MCKENZIE BANKING CO,McKenzie,TN,Bank or Affiliate,480853
549300JF52QHLC8BF081,TEXAS STATE BANK,San Angelo,TX,Bank or Affiliate,748964
549300G7KW08JJ121L78,TEXAS BRAND BANK,Dallas,TX,Bank or Affiliate,3297490
549300FF2P6I0N4FHD29,BENCHMARK BANK,Plano,TX,Bank or Affiliate,980960
549300C1W6Z8G84PDE17,CITIZENS STATE BANK,Woodville,TX,Bank or Affiliate,625065
549300SP0WF5J8HGAC84,BANDERA BANK,Bandera,TX,Bank or Affiliate,78157
549300MY5ML47R0EMV87,TEXAS HERITAGE BANK,Boerne,TX,Bank or Affiliate,702359
549300QVGNXYT00KCW22,AUSTIN COUNTY STATE BANK,Bellville,TX,Bank or Affiliate,3463875
254900LRLJWLGRD5A189,SOUTH TEXAS BANCSHARES,Shallowater,TX,Bank or Affiliate,524766
254900QA42CLV3RMFZ29,BANK OF THE WEST,Grapevine,TX,Bank or Affiliate,859552
549300FEVB4NXSZ0NJ55,FIDELITY BANK OF TEXAS,Waco,TX,Bank or Affiliate,741068
254900EY91VUW4KYE555,VALUEBANK TEXAS,Corpus Christi,TX,Bank or Affiliate,964157
5493006X4VPGZ5GVIB71,SAGE CAPITAL BANK,Gonzales,TX,Bank or Affiliate,448554
549300VJGIUT3U3MR611,GRAND BANK OF TEXAS,Dallas,TX,Bank or Affiliate,525352
549300E2M76Y41U4FC19,CAPITAL BANK,Jacinto City,TX,Bank or Affiliate,596156
549300YDU8N5KZBYRU81,COLEMAN COUNTY STATE BANK,Coleman,TX,Bank or Affiliate,761954
254900GO6CBTN4SGSX19,THE 1ST STATE BANK,Rice,TX,Bank or Affiliate,736662
549300B3BYZ0VA02U546,FIDELITY BANK,Wichita Falls,TX,Bank or Affiliate,3202962
549300C1TKOTJP9R4O15,CHARIS BANK,Justin,TX,Bank or Affiliate,866055
254900BAR7I9CB7YO393,THE 1ST STATE BANK,Louise,TX,Bank or Affiliate,888552
549300OMRMD1YNOU3C56,COMMERCIAL STATE BANK,Palmer,TX,Bank or Affiliate,1017564
254900LQPR8CYPBIJ478,1ST TEXAS BANK,Lampasas,TX,Bank or Affiliate,875758
549300LHIG86DP0JR819,POINTWEST BANK,West,TX,Bank or Affiliate,292467
549300SOZES6XPZ50475,THE BANK OF SAN ANTONIO,San Antonio,TX,Bank or Affiliate,3548567
549300M6F8O82D8W2395,THE PECOS COUNTY STATE BANK,Fort Stockton,TX,Bank or Affiliate,396954
254900ARLAZ571P0Z136,INDUSTRY STATE BANK,Industry,TX,Bank or Affiliate,733054
549300WV31PDXKIYPW48,CITIZENS BANK,Kilgore,TX,Bank or Affiliate,744854
5493000EYTYA2T8VQA06,THE COWBOY BANK OF TEXAS,Maypearl,TX,Bank or Affiliate,370954
549300ZWYC0QUOFP0Q79,PEGASUS BANK,Dallas,TX,Bank or Affiliate,3465392
62QLBUYGD5B0HB0RFF84,UNION STATE BANK,Florence,TX,Bank or Affiliate,452850
549300LBSJDS5R7PIK62,TOLLESON PRIVATE BANK,Dallas,TX,Bank or Affiliate,3166699
54930025OQ7Y7X795P35,1ST STATE BANK,Clute,TX,Bank or Affiliate,796152
549300TGP3T5TV8DU268,THE BANK & TRUST OF BRYAN/COLLEGE STATION,Bryan,TX,Bank or Affiliate,3415454
549300XUMLWCTTKR4B35,1ST COMMUNITY BANK,San Benito,TX,Bank or Affiliate,334264
549300GMJ6RM02VXK542,PILGRIM BANK,Pittsburg,TX,Bank or Affiliate,911160
549300NUL8P98XDLUL67,TEXAS 1ST STATE BANK,Riesel,TX,Bank or Affiliate,655660
5493005QU87D4OE5GZ21,1ST TEXAS BANK,Georgetown,TX,Bank or Affiliate,444350
254900695MEPYT475810,CHARTER BANK,Corpus Christi,TX,Bank or Affiliate,814458
549300K77JMKPUYBOI69,INTERNATIONAL BANK OF COMMERCE,Brownsville,TX,Bank or Affiliate,230759
549300H1IFC5OSWPR637,THE ROSCOE STATE BANK,Roscoe,TX,Bank or Affiliate,33268
254900EWUWDU43PY5R60,1ST TEXAS BANK,Killeen,TX,Bank or Affiliate,688257
549300P4P14Y3SHHUE92,TEXAS HILL COUNTRY BANK,Bandera,TX,Bank or Affiliate,3806481
5493003VT065KPIN8879,HOME SVGS BANK,Salt Lake City,UT,Bank or Affiliate,460770
549300MZCM3IR0ZWDI94,1ST UTAH BANK,Salt Lake City,UT,Bank or Affiliate,207872
549300IUOIT30T6K4P85,VIRGINIA COMMUNITY BANK,Louisa,VA,Bank or Affiliate,105222
549300NIJITDSZ8M7H32,VILLAGE B&T FIN CORP,Richmond,VA,Bank or Affiliate,2760232
549300BWLVXZW3IU4M23,SKAGIT BANK,Burlington,WA,Bank or Affiliate,227179
549300UNLNLUWP9U7Z88,HARBOR COMMUNITY BANK,Raymond,WA,Bank or Affiliate,883137
254900XK1QLA60R87H84,SAVIBANK,Burlington,WA,Bank or Affiliate,3346268
549300QVY7F9778XM742,BANK OF ALMA,Alma,WI,Bank or Affiliate,564052
549300BYPOOVRT5LDR49,SECURANT BANK & TRUST,Menomonee Falls,WI,Bank or Affiliate,196743
5493006F76Q4E2E2RJ61,UNITED COMMUNITY BANK,Poynette,WI,Bank or Affiliate,54049
549300BZ038VQFB4UY84,1ST COMMUNITY BANK,Milton,WI,Bank or Affiliate,742542
5493007D2VPXSKV4K019,PARTNERS BANK OF WISCONSIN,Marshfield,WI,Bank or Affiliate,114149
5493007DQGMVKRNOMA84,PIONEER BANK,Auburndale,WI,Bank or Affiliate,508841
549300OBOL474MATJ593,INDEPENDENCE STATE BANK,Independence,WI,Bank or Affiliate,396057
254900KSSD1QWXBEPB68,STATE BANK OF NEWBURG,Newburg,WI,Bank or Affiliate,228345
549300F247N2IU8SC024,1ST BUSINESS BANK,Madison,WI,Bank or Affiliate,537449
54930003F1EMW6SYJ110,UNITED BANK,Osseo,WI,Bank or Affiliate,164854
549300J8FF3JUS00NE75,CHOICE BANK,Oshkosh,WI,Bank or Affiliate,3455236
2549001Z9LKB35FX7237,MCFARLAND STATE BANK,McFarland,WI,Bank or Affiliate,663647
549300VXBTQBE5NEW917,PARTNERSHIP BANK,Cedarburg,WI,Bank or Affiliate,284248
549300SRO5L90DRP2664,COMMUNITY 1ST BANK,Rosholt,WI,Bank or Affiliate,62147
549300KZG9TK7W7BIM68,FOX RIVER STATE BANK,Burlington,WI,Bank or Affiliate,3188712
549300RP0N2VARTRFQ77,RIVER FALLS STATE BANK,River Falls,WI,Bank or Affiliate,955753
5493009WLD1EC45QKX71,GREENLEAF WAYSIDE BANK,Greenleaf,WI,Bank or Affiliate,675248
2549006O1VOXO2GS6554,BANK OF MOUNT HOPE,MOUNT HOPE,WV,Bank or Affiliate,352820
549300ZZ7K4DPF84PF16,PIONEER COMMUNITY BANK,Iaeger,WV,Bank or Affiliate,294827
549300GKZTKVQFQNP844,WHITESVILLE STATE BANK,Whitesville,WV,Bank or Affiliate,732637
549300WI0D85GPCMEM61,THE 1ST STATE BANK,Barboursville,WV,Bank or Affiliate,627425
549300LBYGRKZX1SD516,MVB BANK,Fairmont,WV,Bank or Affiliate,2757205
549300EDYVHHESU7CM72,CORNERSTONE BANK,West Union,WV,Bank or Affiliate,978239
549300GG3E9KJST8NW30,1ST NEIGHBORHOOD BANK,Spencer,WV,Bank or Affiliate,911339
254900PNUZSV3PBY6Z71,1ST SENTRY BANK,Huntington,WV,Bank or Affiliate,2506757
5493004K8RRQOXD1GZ89,SECURITY 1ST BANK,Cheyenne,WY,Bank or Affiliate,529172
549300RSNTKNOA7GNI77,CENTRAL B&T,Lander,WY,Bank or Affiliate,903950
549300ZLPU75MU7O0T38,ORIENTAL BANK,San Juan,,Bank or Affiliate,245276
6354007NTMKKVRFIIP73,BANK OF SUN PRAIRIE,Sun Prairie,,Bank or Affiliate,124344
635400IW1QMK3FNFF894,MERIDIAN BANK CORP,Malvern,,Bank or Affiliate,3271799
5493003OSI5CD032EN89,DENALI STATE BANK,Fairbanks,AK,Bank or Affiliate,571265
549300XARD788LSGZW76,1ST US BANK,Birmingham,AL,Bank or Affiliate,259330
549300W8Q4KZC8LMAV19,1ST METRO BANK,Muscle Shoals,AL,Bank or Affiliate,1222519
549300OPKCV6BLMDSL66,UNITED BANK,Atmore,AL,Bank or Affiliate,994435
549300NGPQR3A3H27014,CHEAHA BANK,Oxford,AL,Bank or Affiliate,2915126
549300OPZE52Y4J4QP25,THE EXCHANGE BANK OF ALABAMA,Altoona,AL,Bank or Affiliate,672537
549300RTWPH3HXUWR160,CB&S BANK,Russellville,AL,Bank or Affiliate,594433
5493001XP7X9J8PCH525,SOUTHERN STATES BANK,Anniston,AL,Bank or Affiliate,3629420
5493006HAFES1LQ18W28,RIVER BANK & TRUST,Prattville,AL,Bank or Affiliate,3437157
549300FJRQ7KMJ2TQQ84,THE HOMETOWN BANK OF ALABAMA,Oneonta,AL,Bank or Affiliate,3217331
549300YIZECN2NB3I529,1ST FIN BANK,Bessemer,AL,Bank or Affiliate,292234
5493002XCPKQYCZ56W55,PEOPLES BANK OF ALABAMA,Cullman,AL,Bank or Affiliate,60330
254900GYV99GSRS94462,LIBERTY BANK,Geraldine,AL,Bank or Affiliate,386432
549300ZX7CMZ93QCZQ91,1ST CITIZENS BANK,Luverne,AL,Bank or Affiliate,541231
254900P4A09O6AABF892,1ST SOUTHERN BANK,Florence,AL,Bank or Affiliate,66275
254900E9QYJ6OX8QXL76,SOUTHPOINT BANK,Birmingham,AL,Bank or Affiliate,3386536
549300BWXUPDS3PDOL40,WEST ALABAMA BANK & TRUST,Reform,AL,Bank or Affiliate,501132
254900GRDRKSA8ZPAJ55,TRADITIONS BANK,Cullman,AL,Bank or Affiliate,3194692
254900FG1PR8UNV77C36,CCB COMMUNITY BANK,Andalusia,AL,Bank or Affiliate,655839
549300E2RDLPC5BL1Z93,PROGRESS B&T,Huntsville,AL,Bank or Affiliate,3690596
549300N968Y85YXDX139,TROY B&T,Troy,AL,Bank or Affiliate,134437
549300XSS1CPK8G7B851,SERVISFIRST BANK,Birmingham,AL,Bank or Affiliate,3348888
549300VIIXX6NYY12891,1ST COMMUNITY BANK OF CENTRAL ALABAMA,Wetumpka,AL,Bank or Affiliate,3034257
549300MNJT84X74B3052,PREMIER BANK OF THE SOUTH,Cullman,AL,Bank or Affiliate,1160509
5493005GHHD2LL3US857,CITIZENS BANK & TRUST,Guntersville,AL,Bank or Affiliate,3174920
549300MGJ0J02F6KDW38,1ST JACKSON BANK,Stevenson,AL,Bank or Affiliate,248633
549300QUWFE9UINQOY10,ROBERTSON BANKING CO,Demopolis,AL,Bank or Affiliate,430036
5493003L2LYA333BZY52,FARMERS BANK,Greenwood,AR,Bank or Affiliate,325141
5493006ZPOXWU5V4FT07,HORATIO STATE BANK,Horatio,AR,Bank or Affiliate,458142
254900561K135J92VD38,1ST SECURITY BANK,Searcy,AR,Bank or Affiliate,673440
25490046GL77VSFSYG24,SIGNATURE BANK OF ARKANSAS,Fayetteville,AR,Bank or Affiliate,3350724
549300GY4NTTEM7WWB64,BANK OF ENGLAND,England,AR,Bank or Affiliate,244149
5493007BBMW58UQT5588,1ST ARKANSAS B&T,Jacksonville,AR,Bank or Affiliate,466240
549300QWJ3UDIX8KBP64,GENERATIONS BANK,Rogers,AR,Bank or Affiliate,329345
54930039OWZFM2IGRN69,CHAMBERS BANK,Danville,AR,Bank or Affiliate,517049
549300IEIM2IT5YK4368,1ST COMMUNITY BANK,Batesville,AR,Bank or Affiliate,2596646
549300FAG4VH7YJ66576,ANSTAFF BANK,Green Forest,AR,Bank or Affiliate,261940
549300W2LKZKSX67ZU02,1ST SERVICE BANK,Greenbrier,AR,Bank or Affiliate,458544
549300AF1DMBPMDRP146,ARIZONA BANK & TRUST,Phoenix,AZ,Bank or Affiliate,3187612
549300HKYIM2UCUTQA05,HORIZON COMMUNITY BANK,LAKE HAVASU CITY,AZ,Bank or Affiliate,3154780
549300A7BPOO2YO2YE30,MONTECITO BANK & TRUST,Santa Barbara,CA,Bank or Affiliate,514066
549300W0YBCUV18HSR42,TRI COUNTIES BANK,Chico,CA,Bank or Affiliate,100562
5493003B20KZ3DEZGB43,ROYAL BUSINESS BANK,Los Angeles,CA,Bank or Affiliate,3835454
549300M5KSPQD2HH1N54,1ST FOUNDATION BANK,Irvine,CA,Bank or Affiliate,3637685
5493003HTEY5OCC5SP27,BANK OF THE SIERRA,Porterville,CA,Bank or Affiliate,662369
OZ7MS5KHJY6WIPGXQW23,FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Lodi,CA,Bank or Affiliate,808260
549300TF1E42EUFBSL45,MECHANICS BANK,Walnut Creek,CA,Bank or Affiliate,936462
5493005LNO5N4F760786,1ST NORTHERN BANK OF DIXON,Dixon,CA,Bank or Affiliate,783161
549300EGL1VV7LY0QU69,BANK OF MARIN,Novato,CA,Bank or Affiliate,1436204
5493006Y2YCT81BVTL57,EXCHANGE BANK,Santa Rosa,CA,Bank or Affiliate,507068
549300L36QZWPHM6FP31,CITIZENS BUSINESS BANK,Ontario,CA,Bank or Affiliate,933966
549300WOJCNL7B110W30,OPEN BANK,Los Angeles,CA,Bank or Affiliate,3357219
254900SRWC0U4V5XQ024,BANK OF STOCKTON,Stockton,CA,Bank or Affiliate,479268
5493000ZB0IHPJ66BJ32,LUTHER BURBANK SVGS,Santa Rosa,CA,Bank or Affiliate,497570
5493006F1N8E3EEF3W63,FREMONT BANK,Fremont,CA,Bank or Affiliate,739560
5493005LWLLN6G3XQP35,CTBC BANK CORP (USA),Los Angeles,CA,Bank or Affiliate,996260
54930072UFREQ9ZZRG80,PACIFIC CITY BANK,Los Angeles,CA,Bank or Affiliate,3212402
OYWNLMHNBQQ7BAH3EE86,ALPINE BANK,Glenwood Springs,CO,Bank or Affiliate,260055
549300DV8S0IJF2QWL30,STOCKMENS BANK,Colorado Springs,CO,Bank or Affiliate,982553
549300J3KQJDSZQIMM59,FORTIS PRIVATE BANK,Denver,CO,Bank or Affiliate,2515320
549300R0DP2GXAIMGB41,BANK OF COLORADO,Fort Collins,CO,Bank or Affiliate,255659
254900KI7219LQKCI772,1ST WESTERN TRUST BANK,Denver,CO,Bank or Affiliate,3158546
549300ZXXYWVD5ZXYN28,THE EASTERN COLORADO BANK,Cheyenne Wells,CO,Bank or Affiliate,775054
254900ZJM7YMM3MA5J75,THE 1ST BANK OF GREENWICH,Cos Cob,CT,Bank or Affiliate,3466988
549300PE7I3IWSUX2B53,SALISBURY B&T,Lakeville,CT,Bank or Affiliate,821906
549300J8HNLGP2HYNE66,INDUSTRIAL BANK,Washington,DC,Bank or Affiliate,536527
549300IRRKG7NTX2YD83,CITIZENS B&T,Frostproof,FL,Bank or Affiliate,701839
549300CN9XK83EUACJ34,UNITED SOUTHERN BANK,Umatilla,FL,Bank or Affiliate,327435
5493006BN3B3B1H3B988,1ST BANK,Clewiston,FL,Bank or Affiliate,131436
549300IQVXIW1VTW0D69,CITIZENS 1ST BANK,The Villages,FL,Bank or Affiliate,1867983
254900G3JF710WUIHN65,DRUMMOND COMMUNITY BANK,Chiefland,FL,Bank or Affiliate,1436071
254900667M5CK6Y3DF27,BANCO DO BRASIL AMERICAS,Miami,FL,Bank or Affiliate,110936
549300HJSQXR32ZGFP55,MARINE B&T,Vero Beach,FL,Bank or Affiliate,2587916
549300VS8Y4N1Y2J0S91,BRANNEN BANK,Inverness,FL,Bank or Affiliate,760331
5493006Q0EMYD3OJ8N13,BAC FLORIDA BANK,Coral Gables,FL,Bank or Affiliate,725732
549300D4L76B477GHY32,OCEAN BANK,Miami,FL,Bank or Affiliate,663834
549300ZW96EO7YCGVV43,WAUCHULA STATE BANK,Wauchula,FL,Bank or Affiliate,200435
549300SV2V1USGXBSB36,PRIME MERIDIAN BANK,Tallahassee,FL,Bank or Affiliate,3690701
549300KEFLY2A00BLQ60,FLINT COMMUNITY BANK,Albany,GA,Bank or Affiliate,3341393
549300KZLDOQY0W4XL83,HERITAGE SOUTHEAST BANK,Jonesboro,GA,Bank or Affiliate,628178
549300PQYQDOLH45NU80,BANK OF DADE,Trenton,GA,Bank or Affiliate,441630
549300ELFWNRX6MLE444,FARMERS & MERCHANTS BANK,Lakeland,GA,Bank or Affiliate,763930
549300C4YZ9QY31U5912,PRIMESOUTH BANK,Blackshear,GA,Bank or Affiliate,1011638
549300RZCM5T73BZEI76,PEOPLESSOUTH BANK,Colquitt,GA,Bank or Affiliate,518037
549300CWZXP5LD3GVV26,BANK OF DUDLEY,Dudley,GA,Bank or Affiliate,546535
25490053QEQO83AZIX15,CITIZENS COMMUNITY BANK,Valdosta,GA,Bank or Affiliate,564838
549300EJ3PWN9QTWAN34,PEOPLES BANK & TRUST,Buford,GA,Bank or Affiliate,109136
IUGPUX5LWRZ3B6KIZ697,AMERIS BANK,Atlanta,GA,Bank or Affiliate,764030
549300LG7IO23TN5LR98,SOUTHEASTERN BANK,Darien,GA,Bank or Affiliate,210238
5493002W6KWD0REQ1T16,SUNMARK COMMUNITY BANK,Hawkinsville,GA,Bank or Affiliate,100236
549300S61HFNW2YFEK61,UNITED BANK,Zebulon,GA,Bank or Affiliate,37435
254900ZWDLZRZ1IY7113,GUARDIAN BANK,Valdosta,GA,Bank or Affiliate,2989006
254900AHLSHUJOTJG402,COLONY BANK,Fitzgerald,GA,Bank or Affiliate,491934
549300FM2Y64BMWO8016,1ST BANK,Dalton,GA,Bank or Affiliate,2349459
549300WHACUOETOKO184,1ST AMER B&T,Athens,GA,Bank or Affiliate,921039
254900OPB6J0NM26JY33,OCONEE STATE BANK,Watkinsville,GA,Bank or Affiliate,573036
5493000I54FJ7EG6WZ24,EXCHANGE BANK,Milledgeville,GA,Bank or Affiliate,613839
254900Z8I9USTJ1JA072,MAGNOLIA STATE BANK,Eastman,GA,Bank or Affiliate,204237
549300XP5418ENGZVD49,F&M BANK,Washington,GA,Bank or Affiliate,510330
549300T0T513EF0UT426,THE PIEDMONT BANK,Norcross,GA,Bank or Affiliate,3489035
254900W6YNVUG39YQI51,SOUTH GEORGIA BANK,Glennville,GA,Bank or Affiliate,995571
549300TAFYLARKCKJ639,BANK OF MONTICELLO,Monticello,GA,Bank or Affiliate,805335
549300ANE43ZL0O8VZ13,1ST STATE BANK OF BLAKELY,Blakely,GA,Bank or Affiliate,5135
549300FKW6LAHX0L9161,GEORGIA COMMUNITY BANK,Dawson,GA,Bank or Affiliate,2823221
549300TUT7EEMS8S2B86,THE COMMERCIAL BANK,Crawford,GA,Bank or Affiliate,469737
2549006MTEQ1VE0AAQ20,PINNACLE BANK,ELBERTON,GA,Bank or Affiliate,366238
2549008AGLU4AEH9GZ71,PINELAND BANK,Alma,GA,Bank or Affiliate,6039
25490033STXCA9YDXT42,GLENNVILLE BANK,Glennville,GA,Bank or Affiliate,439132
254900TM81D0YC1B9584,METRO CITY BANK,Doraville,GA,Bank or Affiliate,3437456
254900VXGQ0PJJBNKA66,THE BANK OF LAFAYETTE GEORGIA,LaFayette,GA,Bank or Affiliate,944739
254900VA7WQ1PZGYI558,MORRIS BANK,Dublin,GA,Bank or Affiliate,423739
5493001P6QB5ISAUNV97,GEORGIA BANKING CO,Atlanta,GA,Bank or Affiliate,3016347
5493005R24FV5DFFXW42,CENTRAL PACIFIC BANK,Honolulu,HI,Bank or Affiliate,701062
549300MP1N04YL1TZP61,AVAILA BANK,Carroll,IA,Bank or Affiliate,859141
549300EXKS98GEONUS84,FARMERS STATE BANK,Marion,IA,Bank or Affiliate,1006148
254900S2BHB4ZY0JPI53,RACCOON VALLEY BANK,Perry,IA,Bank or Affiliate,102342
549300ZJODJ0SZUNMX12,FARMERS STATE BANK,Waterloo,IA,Bank or Affiliate,840747
254900LWEI3KP9RMPK59,NORTHWEST B&T,Davenport,IA,Bank or Affiliate,901741
5493005L8AW1CTD9HZ03,1ST CENTRAL STATE BANK,Dewitt,IA,Bank or Affiliate,639549
254900WQBZOLXT53K570,PEOPLES BANK,Rock Valley,IA,Bank or Affiliate,998844
54930038YN5XV3SDVZ83,BANKIOWA OF CEDAR RAPIDS,Cedar Rapids,IA,Bank or Affiliate,737548
549300BNZVNK1XN85P72,AMER STATE BANK,Sioux Center,IA,Bank or Affiliate,735441
549300RWHDQQ6O8UNG56,PEOPLES SVGS BANK,Indianola,IA,Bank or Affiliate,2732565
549300TN34NXD7N44O04,TWO RIVERS BANK & TRUST,Burlington,IA,Bank or Affiliate,3320781
549300P8W7NTNS3TVK84,FIDELITY BANK & TRUST,Dubuque,IA,Bank or Affiliate,939249
254900I4Q994MFILTR26,KEYSTONE SVGS BANK,Marengo,IA,Bank or Affiliate,931944
549300JGL6C3EZEB8H05,GREEN BELT BANK & TRUST,Iowa Falls,IA,Bank or Affiliate,803649
25490031SXYH24299E86,PREMIER BANK,Rock Valley,IA,Bank or Affiliate,2539960
O4XVIZ10YPQYFKUKCF76,DUBUQUE B&T,Dubuque,IA,Bank or Affiliate,642549
254900ALCPGGRYFG8I88,FIDELITY BANK,West Des Moines,IA,Bank or Affiliate,193247
549300Z8UWZMQ33WI653,MOUNT VERNON B&T,Mount Vernon,IA,Bank or Affiliate,890649
II61D6IY86YZ37HBBL25,BANKERS TRUST CO,Des Moines,IA,Bank or Affiliate,811046
549300HR2TLJ7IGFMV18,BLUE GRASS SVGS BANK,Blue Grass,IA,Bank or Affiliate,794345
549300C1FRYGOIEXG035,KERNDT BROTHERS SVGS BANK,Lansing,IA,Bank or Affiliate,665146
254900P6952HH7CVAC87,CITIZENS STATE BANK,Monticello,IA,Bank or Affiliate,795548
254900SPZRGOBHSHRP90,COMMUNITY SVGS BANK,Edgewood,IA,Bank or Affiliate,646743
89Z2WRK82BORVH42CP71,WEST BANK,West Des Moines,IA,Bank or Affiliate,139740
2549002OCMCJIOOONI88,UNITED BANK OF IOWA,Ida Grove,IA,Bank or Affiliate,738040
549300ZWA6HRT4N1Z222,HILLS B&T,Hills,IA,Bank or Affiliate,731247
254900U7G0LJ4QNSFC86,MANUFACTURERS B&T,Forest City,IA,Bank or Affiliate,215345
549300XY02VS45I5ZZ90,LOLN SVGS BANK,Reinbeck,IA,Bank or Affiliate,589943
549300LZLYU85WF65870,MIDWESTONE BANK,Iowa City,IA,Bank or Affiliate,836843
549300IZ5GOBKOERL931,LUANA SVGS BANK,Luana,IA,Bank or Affiliate,674849
254900JG0TE6ZVYQ7857,DENVER SVGS BANK,Denver,IA,Bank or Affiliate,220844
254900XRQ4U9ABU6F580,D L EVANS BANK,Burley,ID,Bank or Affiliate,543262
549300SE6YAYK0PZZR74,BANK OF IDAHO,Idaho Falls,ID,Bank or Affiliate,300960
5493002Q5MB21VG7B390,REPUBLIC BANK OF CHICAGO,Oak Brook,IL,Bank or Affiliate,671334
2549006I89JVMC44TE62,MURPHY-WALL STATE B&T,Pinckneyville,IL,Bank or Affiliate,478140
549300JMCI45DZ4YNK98,TRUSTBANK,Olney,IL,Bank or Affiliate,338646
2138007DQF1WY8NDYM18,NORTHWEST BANK OF ROCKFORD,ROCKFORD,IL,Bank or Affiliate,685649
2549008LUH7QKMXQ8N53,FLANAGAN STATE BANK,Flanagan,IL,Bank or Affiliate,979133
549300ZM3TKJVUYB3676,CENTRAL BANK ILLINOIS,Geneseo,IL,Bank or Affiliate,931038
549300UV5JQXLGVWIP44,DEVON BANK,Chicago,IL,Bank or Affiliate,347639
5493005SBCJ71Z4XVY11,1ST BANK OF HIGHLAND PARK,Highland Park,IL,Bank or Affiliate,804338
254900KE9OJJUH139Q12,BYRON BANK,Byron,IL,Bank or Affiliate,325534
549300NN5CG5Q640OV05,HICKORY POINT B&T,Decatur,IL,Bank or Affiliate,550635
549300SNZET0P5BZ3J56,MORTON COMMUNITY BANK,Morton,IL,Bank or Affiliate,825146
549300L8JRY60EOROT34,FCB BANKS,Collinsville,IL,Bank or Affiliate,1459717
549300T3MSPBPSPZLR85,1ST TRUST BANK OF ILLINOIS,Kankakee,IL,Bank or Affiliate,2718596
5493005QZNPGRQNTRB15,IPAVA STATE BANK,Ipava,IL,Bank or Affiliate,760434
549300O7SGM8FH65GQ47,BUSEY BANK,Champaign,IL,Bank or Affiliate,416245
549300X66F41NHRM7578,FEDERATED BANK,Onarga,IL,Bank or Affiliate,640143
549300U8Y61UKDC5ZF50,VERMILION VALLEY BANK,Piper City,IL,Bank or Affiliate,666844
549300ZJ52ZRS3Q0S589,BANK OF O'FALLON,O'Fallon,IL,Bank or Affiliate,410748
549300FX3J95NB1UTP88,ALLIANCE COMMUNITY BANK,Petersburg,IL,Bank or Affiliate,924937
5493002L7I6EYKW3NG91,BLACKHAWK BANK & TRUST,Milan,IL,Bank or Affiliate,890742
2549001E11O22GGBEL86,PRAIRIE STATE B&T,Springfield,IL,Bank or Affiliate,1222948
XC7Z0BA39TU7L1AKOJ12,1ST AMER BANK,Elk Grove Village,IL,Bank or Affiliate,850036
549300OVUSU8E87XZV67,LEGENCE BANK,Eldorado,IL,Bank or Affiliate,635840
549300CP7747DCRW6U68,CARROLLTON BANK,Carrollton,IL,Bank or Affiliate,1001648
549300BLY7T77VMK2263,CATLIN BANK,Catlin,IL,Bank or Affiliate,307932
54930027CDXLJ58XBO36,ILLINOIS BANK & TRUST,Rockford,IL,Bank or Affiliate,2339900
5493003EAJYUK1F8B139,FORTRESS BANK,Peoria,IL,Bank or Affiliate,953535
549300VJ2DUIQKBO9U08,SCOTT STATE BANK,Bethany,IL,Bank or Affiliate,443634
