lei,respondent_name,respondent_city,respondent_state,type_name,respondent_rssd
254900E8AB6YT3KRD187,1ST NAT BANCORP,Kalamazoo,MI,Bank or Affiliate,3404467
5493008LABVG9QJ78G04,CENTER NAT BANK,Litchfield,MN,Bank or Affiliate,1017957
254900CPIGHZEFW97Z79,1ST NAT BANK MINNESOTA,Saint Peter,MN,Bank or Affiliate,197759
549300X2ZT06KCNAN962,NORTHWESTERN BANK,Dilworth,MN,Bank or Affiliate,207555
549300LX1HMON836J004,THE 1ST NAT BANK OF MILACA,Milaca,MN,Bank or Affiliate,924357
549300OTZJELCR34CD18,THE 1ST NAT BANK OF BAGLEY,Bagley,MN,Bank or Affiliate,392255
549300MIVSVBBGZIFR79,1ST FARMERS & MERCHANTS NAT BANK,Fairmont,MN,Bank or Affiliate,1470150
254900GWSHKTMAYXI472,MINNSTAR BANK,Lake Crystal,MN,Bank or Affiliate,89854
549300MX8VQ8VRHIUY36,THE 1ST NAT BANK OF MOOSE LAKE,Moose Lake,MN,Bank or Affiliate,706058
254900QRJBX9155TRB79,FALCON NAT BANK,Foley,MN,Bank or Affiliate,3184228
2549000NTDO0Q5Y5VF72,1ST COMMUNITY NAT BANK,Cuba,MO,Bank or Affiliate,619859
549300MVRMQQQCPMNN86,RAMSEY NAT BANK,Devils Lake,ND,Bank or Affiliate,987352
254900TW0BIDE6JENM80,THE PENNSVILLE NAT BANK,Pennsville,NJ,Bank or Affiliate,828110
25490001TS9QRZRMM257,DELANCO FED SVGS BANK,Delanco,NJ,Bank or Affiliate,122573
549300QBT0F69K8APR14,LOS ALAMOS NAT BANK,Los Alamos,NM,Bank or Affiliate,205654
549300L79UZB0KDTXC31,THE NAT UNION BANK OF KINDERHOOK,Kinderhook,NY,Bank or Affiliate,313401
549300UZLRT6BCR3ZQ32,EMPIRE NAT BANK,Islandia,NY,Bank or Affiliate,3706013
549300MONA3L2BDK8Q22,SIGNATURE BANK,Toledo,OH,Bank or Affiliate,3076604
5493007ER6T8J454KL85,AMER SVGS BANK,Portsmouth,OH,Bank or Affiliate,455879
2549000UUHZDEKIZ2Z84,THE CITIZENS NAT BANK OF WOODSFIELD,Woodsfield,OH,Bank or Affiliate,386825
54930030NLAV245IKD76,THE PEOPLES NAT BANK OF MOUNT PLEASANT,Mount Pleasant,OH,Bank or Affiliate,484927
54930080KJR5G1HZVI89,1ST NAT B&T OF ARDMORE,Ardmore,OK,Bank or Affiliate,984258
549300R6P9WVVQOQF705,THE 1ST NAT B&T OF BROKEN ARROW,Broken Arrow,OK,Bank or Affiliate,145554
549300ND32GY8MLMJA78,1ST NAT BANK,Heavener,OK,Bank or Affiliate,195456
549300L6W7Y17ULD2C18,STROUD NAT BANK,Stroud,OK,Bank or Affiliate,521952
549300VUC1HUFKVPE720,TRIAD BANK,Tulsa,OK,Bank or Affiliate,283652
549300FNCDQV214FLN54,FSNB,Lawton,OK,Bank or Affiliate,125154
254900IVPAGO4BK3EO35,PIONEER TRUST BANK,Salem,OR,Bank or Affiliate,852973
549300F1QUQ5OC00JB42,DNB 1ST,Downingtown,PA,Bank or Affiliate,71318
254900NSXWCE07HAP496,THE NAT BANK OF MALVERN,Malvern,PA,Bank or Affiliate,977616
549300X0240UXBEJNV56,1ST NAT BANK OF SOUTH CAROLINA,Holly Hill,SC,Bank or Affiliate,347022
549300RK7Q0WLYYRNC19,SECURITY NAT BANK OF SOUTH DAKOTA,Dakota Dunes,SD,Bank or Affiliate,2529176
549300II4U7S5GDYGU90,THE 1ST NAT BANK OF MANCHESTER,Manchester,TN,Bank or Affiliate,290230
